id,destination,country,continent,latitude,longitude,environment,activities,carbon footprint (tons CO2),most_popular_season,rating,name
1,Maldives,Maldives,Asia,3.4167,72.8333,beach,swimming; snorkeling; diving; fishing,5000,December-March,4.8,Sunset Villas Maldives
2,Cancun,Mexico,North America America,21.1667,86.8333,beach, swimming; golf; spa; shopping,8000,December-April,4.5,Tides Cancun Resort & Spa
3,Paris,France,Europe,48.8567,2.3508,city, museums; restaurants; shopping; parks,12000,May-August,4.7,L'Hotel Paris
4,Big Sur,United States,North America,36.3569,121.7688,countryside, beach; hiking; camping; swimming; wildlife viewing,3000,March-November,4.9,Ventana Big Sur
5,Queenstown,New Zealand,Oceania,-45.0167,168.6667,mountains, skiing; hiking; biking; waterfall; lake activities,4000,June-October,4.8,Titilake Queenstown
6,Costa Rica,Costa Rica,North America,9.7367,-83.7534,jungle, beach; zip lining; wildlife viewing; swimming; surfing,6000,November-May,4.6,Arenas del Mar Costa Rica
7,Switzerland,Switzerland,Europe,46.8182,8.2275,mountains, skiing; hiking; lake activities; wellness,7000,December-April,4.9,Chalet Mountains Switzerland
8,Bali,Indonesia,Asia,-8.3333,115.1667,countryside, beach; yoga; swimming; temples; shopping; cuisine,9000,March-October,4.7,Padi Bali Wellness Resort
9,Sydney,Australia,Oceania,-33.8569,151.2153,city, beach; Opera House; Harbour Bridge; Bondi Beach,10000,All year,4.8,Sydney Harbour Marriott Hotel
10,Vancouver,Canada,North America,49.2827,123.1207,city, mountains; Stanley Park; Whistler skiing; cycling,8000,April-October,4.6,Fairmont Pacific Rim Hotel
11,Tokyo,Japan,Asia,35.6804,139.7721,city, shopping; shrines; parks; food,12000,April & October,4.7,Park Hyatt Tokyo Hotel
12,Bangkok,Thailand,Asia,13.7563,100.5018,city, temples; cuisine; shopping; Grand Palace,11000,November-April,4.6,Four Seasons Hotel Bangkok
13,Rio de Janeiro,Brazil,South America,-22.9068,-43.1729,city, beaches; Sugarloaf Mountain; Christ the Redeemer,9000,December-March,4.5,Copacabana Palace Hotel
14,London,United Kingdom,Europe,51.5074,0.1278,city, Big Ben; Buckingham Palace; shopping,13000,April-September,4.8,The Ritz London
15,Seoul,South Korea,Asia,37.5665,126.9780,city, palaces; markets; food; karaoke,12000,April; August; October,4.7,Grand Hyatt Seoul
16,Miami,United States,North America,25.7676,-80.1937,city, beaches; nightlife; shopping,10000,December-April,4.5,Fontainebleau Miami Beach
17,Las Vegas,United States,North America,36.1699,-115.1398,city, casinos; shows; Grand Canyon,9000,Year round,4.6,Bellagio Las Vegas
18,Hong Kong,China,Asia,22.3964,114.1095,city, skyscrapers; Victoria Harbour; shopping,15000,October-March,4.7,The Peninsula Hong Kong
19,Cape Town,South Africa,-33.9248,18.4241,city, beaches; Table Mountain; wine regions,8000,September-May,4.8,One&Only Cape Town
20,Auckland,New Zealand,-36.8484,174.7633,city, harbors; parks; islands,7000,October-May,4.5,Sky City Grand Hotel Auckland
